open deivce ok!
Can Init ok!
serial speed 115200
servo id:1 init...
servo id:2 init...
servo id:3 init...
[1;32mNODE_ID:1 START_NODE[0m
[1;32mNODE_ID:2 START_NODE[0m
[1;32mNODE_ID:1 READY ev:0 qs:1[0m
[1;32mNODE_ID:2 READY ev:0 qs:1[0m
**********************
*angle ms:1692957448182,m1:0.224,m2:0.136,m3:0.224,s1:0,s2:0
*vel ms:1692957448182,velM1:0,velM2:0,velM3:0,velS1:0,velS2:-0.3
**********************
Cmdms:1692957448183,m1Cmd:0.224,m2Cmd:0.136,m3Cmd:0.224,s1Cmd:0,s2Cmd:0,duration:0
Cmdms:1692957448188,m1Cmd:0.299,m2Cmd:0.236,m3Cmd:0.299,s1Cmd:0.0875,s2Cmd:-0.0375,duration:5
Cmdms:1692957448194,m1Cmd:0.389,m2Cmd:0.356,m3Cmd:0.389,s1Cmd:0.1925,s2Cmd:-0.0825,duration:11
Cmdms:1692957448199,m1Cmd:0.464,m2Cmd:0.456,m3Cmd:0.464,s1Cmd:0.28,s2Cmd:-0.12,duration:16
Cmdms:1692957448205,m1Cmd:0.539,m2Cmd:0.556,m3Cmd:0.539,s1Cmd:0.3675,s2Cmd:-0.1575,duration:21
Cmdms:1692957448210,m1Cmd:0.629,m2Cmd:0.676,m3Cmd:0.629,s1Cmd:0.4725,s2Cmd:-0.2025,duration:27
Cmdms:1692957448215,m1Cmd:0.704,m2Cmd:0.776,m3Cmd:0.704,s1Cmd:0.56,s2Cmd:-0.24,duration:32
Cmdms:1692957448221,m1Cmd:0.794,m2Cmd:0.896,m3Cmd:0.794,s1Cmd:0.665,s2Cmd:-0.285,duration:38
Cmdms:1692957448226,m1Cmd:0.869,m2Cmd:0.996,m3Cmd:0.869,s1Cmd:0.7525,s2Cmd:-0.3225,duration:43
[1;32mNODE_ID:1 SWITCH_ON so:0[0m
[1;32mNODE_ID:2 SWITCH_ON so:0[0m
Anglems:1692957448226,m1:0.224,m2:0.136,m3:0.224,s1:0,s2:0 ,duration:43
Velms:1692957448226,velM1:0,velM2:0,velM3:0,velS1:0,velS2:-0.3 ,duration:43
Cmdms:1692957448232,m1Cmd:0.959,m2Cmd:1.116,m3Cmd:0.959,s1Cmd:0.8575,s2Cmd:-0.3675,duration:49
Cmdms:1692957448237,m1Cmd:1.034,m2Cmd:1.216,m3Cmd:1.034,s1Cmd:0.945,s2Cmd:-0.405,duration:54
Cmdms:1692957448243,m1Cmd:1.109,m2Cmd:1.316,m3Cmd:1.109,s1Cmd:1.0325,s2Cmd:-0.4425,duration:59
Cmdms:1692957448248,m1Cmd:1.199,m2Cmd:1.436,m3Cmd:1.199,s1Cmd:1.1375,s2Cmd:-0.4875,duration:65
Cmdms:1692957448254,m1Cmd:1.274,m2Cmd:1.536,m3Cmd:1.274,s1Cmd:1.225,s2Cmd:-0.525,duration:70
Cmdms:1692957448259,m1Cmd:1.364,m2Cmd:1.656,m3Cmd:1.364,s1Cmd:1.33,s2Cmd:-0.57,duration:76
Cmdms:1692957448264,m1Cmd:1.439,m2Cmd:1.756,m3Cmd:1.439,s1Cmd:1.4175,s2Cmd:-0.6075,duration:81
Cmdms:1692957448270,m1Cmd:1.514,m2Cmd:1.856,m3Cmd:1.514,s1Cmd:1.505,s2Cmd:-0.645,duration:86
Anglems:1692957448270,m1:0.224,m2:0.136,m3:0.224,s1:0,s2:0.0018 ,duration:86
Velms:1692957448270,velM1:0,velM2:0,velM3:0,velS1:0,velS2:-0.3 ,duration:86
Cmdms:1692957448275,m1Cmd:1.604,m2Cmd:1.976,m3Cmd:1.604,s1Cmd:1.61,s2Cmd:-0.69,duration:92
Cmdms:1692957448281,m1Cmd:1.694,m2Cmd:2.096,m3Cmd:1.694,s1Cmd:1.715,s2Cmd:-0.735,duration:98
Cmdms:1692957448286,m1Cmd:1.769,m2Cmd:2.196,m3Cmd:1.769,s1Cmd:1.8025,s2Cmd:-0.7725,duration:103
Cmdms:1692957448292,m1Cmd:1.844,m2Cmd:2.296,m3Cmd:1.844,s1Cmd:1.89,s2Cmd:-0.81,duration:108
Cmdms:1692957448297,m1Cmd:1.934,m2Cmd:2.416,m3Cmd:1.934,s1Cmd:1.995,s2Cmd:-0.855,duration:114
Cmdms:1692957448303,m1Cmd:2.009,m2Cmd:2.516,m3Cmd:2.009,s1Cmd:2.0825,s2Cmd:-0.8925,duration:119
Cmdms:1692957448308,m1Cmd:2.099,m2Cmd:2.636,m3Cmd:2.099,s1Cmd:2.1875,s2Cmd:-0.9375,duration:125
Cmdms:1692957448313,m1Cmd:2.174,m2Cmd:2.736,m3Cmd:2.174,s1Cmd:2.275,s2Cmd:-0.975,duration:130
Anglems:1692957448314,m1:0.224,m2:0.576,m3:0.312,s1:0,s2:0 ,duration:130
Velms:1692957448314,velM1:0,velM2:13.176,velM3:4.392,velS1:0,velS2:0 ,duration:130
Cmdms:1692957448319,m1Cmd:2.264,m2Cmd:2.856,m3Cmd:2.264,s1Cmd:2.38,s2Cmd:-1.02,duration:136
Cmdms:1692957448324,m1Cmd:2.339,m2Cmd:2.956,m3Cmd:2.339,s1Cmd:2.4675,s2Cmd:-1.0575,duration:141
Cmdms:1692957448330,m1Cmd:2.414,m2Cmd:3.056,m3Cmd:2.414,s1Cmd:2.555,s2Cmd:-1.095,duration:146
Cmdms:1692957448335,m1Cmd:2.504,m2Cmd:3.176,m3Cmd:2.504,s1Cmd:2.66,s2Cmd:-1.14,duration:152
Cmdms:1692957448340,m1Cmd:2.579,m2Cmd:3.276,m3Cmd:2.579,s1Cmd:2.7475,s2Cmd:-1.1775,duration:157
Cmdms:1692957448346,m1Cmd:2.654,m2Cmd:3.376,m3Cmd:2.654,s1Cmd:2.835,s2Cmd:-1.215,duration:162
Cmdms:1692957448351,m1Cmd:2.744,m2Cmd:3.496,m3Cmd:2.744,s1Cmd:2.94,s2Cmd:-1.26,duration:168
Cmdms:1692957448356,m1Cmd:2.819,m2Cmd:3.596,m3Cmd:2.819,s1Cmd:3.0275,s2Cmd:-1.2975,duration:173
Anglems:1692957448356,m1:0.224,m2:1.456,m3:1.016,s1:0,s2:-0.5274 ,duration:173
Velms:1692957448356,velM1:0,velM2:21.96,velM3:17.568,velS1:0.3,velS2:0 ,duration:173
Cmdms:1692957448362,m1Cmd:2.909,m2Cmd:3.716,m3Cmd:2.909,s1Cmd:3.1325,s2Cmd:-1.3425,duration:179
Cmdms:1692957448367,m1Cmd:2.984,m2Cmd:3.816,m3Cmd:2.984,s1Cmd:3.22,s2Cmd:-1.38,duration:184
Cmdms:1692957448374,m1Cmd:3.059,m2Cmd:3.916,m3Cmd:3.059,s1Cmd:3.3075,s2Cmd:-1.4175,duration:189
Cmdms:1692957448379,m1Cmd:3.164,m2Cmd:4.056,m3Cmd:3.164,s1Cmd:3.43,s2Cmd:-1.47,duration:196
Cmdms:1692957448384,m1Cmd:3.239,m2Cmd:4.156,m3Cmd:3.239,s1Cmd:3.5175,s2Cmd:-1.5075,duration:201
Cmdms:1692957448390,m1Cmd:3.314,m2Cmd:4.256,m3Cmd:3.314,s1Cmd:3.605,s2Cmd:-1.545,duration:206
Cmdms:1692957448395,m1Cmd:3.404,m2Cmd:4.376,m3Cmd:3.404,s1Cmd:3.71,s2Cmd:-1.59,duration:212
