open deivce ok!
Can Init ok!
serial speed 115200
servo id:1 init...
servo id:2 init...
servo id:3 init...
[1;32mNODE_ID:1 START_NODE[0m
[1;32mNODE_ID:2 START_NODE[0m
[1;32mNODE_ID:1 READY ev:0 qs:1[0m
[1;32mNODE_ID:2 READY ev:0 qs:1[0m
**********************
*angle ms:1692957283081,m1:0.312,m2:0.136,m3:0.136,s1:0,s2:0
*vel ms:1692957283081,velM1:0,velM2:0,velM3:0,velS1:0,velS2:0
**********************
Cmdms:1692957283082,m1Cmd:0.312,m2Cmd:0.136,m3Cmd:0.136,s1Cmd:0,s2Cmd:0,duration:0
Cmdms:1692957283087,m1Cmd:0.387,m2Cmd:0.236,m3Cmd:0.211,s1Cmd:0.0875,s2Cmd:-0.0375,duration:5
Cmdms:1692957283093,m1Cmd:0.477,m2Cmd:0.356,m3Cmd:0.301,s1Cmd:0.1925,s2Cmd:-0.0825,duration:11
Cmdms:1692957283098,m1Cmd:0.552,m2Cmd:0.456,m3Cmd:0.376,s1Cmd:0.28,s2Cmd:-0.12,duration:16
Cmdms:1692957283104,m1Cmd:0.627,m2Cmd:0.556,m3Cmd:0.451,s1Cmd:0.3675,s2Cmd:-0.1575,duration:21
Cmdms:1692957283110,m1Cmd:0.732,m2Cmd:0.696,m3Cmd:0.556,s1Cmd:0.49,s2Cmd:-0.21,duration:28
Cmdms:1692957283115,m1Cmd:0.807,m2Cmd:0.796,m3Cmd:0.631,s1Cmd:0.5775,s2Cmd:-0.2475,duration:33
Cmdms:1692957283121,m1Cmd:0.882,m2Cmd:0.896,m3Cmd:0.706,s1Cmd:0.665,s2Cmd:-0.285,duration:38
Cmdms:1692957283127,m1Cmd:0.972,m2Cmd:1.016,m3Cmd:0.796,s1Cmd:0.77,s2Cmd:-0.33,duration:44
[1;32mNODE_ID:1 SWITCH_ON so:0[0m
[1;32mNODE_ID:2 SWITCH_ON so:0[0m
Anglems:1692957283127,m1:0.312,m2:0.136,m3:0.136,s1:0,s2:0 ,duration:44
Velms:1692957283127,velM1:0,velM2:0,velM3:0,velS1:0,velS2:-0.3 ,duration:44
Cmdms:1692957283133,m1Cmd:1.077,m2Cmd:1.156,m3Cmd:0.901,s1Cmd:0.8925,s2Cmd:-0.3825,duration:51
Cmdms:1692957283138,m1Cmd:1.152,m2Cmd:1.256,m3Cmd:0.976,s1Cmd:0.98,s2Cmd:-0.42,duration:56
Cmdms:1692957283144,m1Cmd:1.227,m2Cmd:1.356,m3Cmd:1.051,s1Cmd:1.0675,s2Cmd:-0.4575,duration:61
Cmdms:1692957283149,m1Cmd:1.317,m2Cmd:1.476,m3Cmd:1.141,s1Cmd:1.1725,s2Cmd:-0.5025,duration:67
Cmdms:1692957283155,m1Cmd:1.407,m2Cmd:1.596,m3Cmd:1.231,s1Cmd:1.2775,s2Cmd:-0.5475,duration:73
Cmdms:1692957283160,m1Cmd:1.482,m2Cmd:1.696,m3Cmd:1.306,s1Cmd:1.365,s2Cmd:-0.585,duration:78
Cmdms:1692957283166,m1Cmd:1.557,m2Cmd:1.796,m3Cmd:1.381,s1Cmd:1.4525,s2Cmd:-0.6225,duration:83
Cmdms:1692957283171,m1Cmd:1.647,m2Cmd:1.916,m3Cmd:1.471,s1Cmd:1.5575,s2Cmd:-0.6675,duration:89
Anglems:1692957283172,m1:0.312,m2:0.136,m3:0.136,s1:0,s2:0 ,duration:89
Velms:1692957283172,velM1:0,velM2:0,velM3:0,velS1:0,velS2:-0.6 ,duration:89
Cmdms:1692957283177,m1Cmd:1.737,m2Cmd:2.036,m3Cmd:1.561,s1Cmd:1.6625,s2Cmd:-0.7125,duration:95
Cmdms:1692957283182,m1Cmd:1.812,m2Cmd:2.136,m3Cmd:1.636,s1Cmd:1.75,s2Cmd:-0.75,duration:100
Cmdms:1692957283188,m1Cmd:1.902,m2Cmd:2.256,m3Cmd:1.726,s1Cmd:1.855,s2Cmd:-0.795,duration:106
Cmdms:1692957283193,m1Cmd:1.977,m2Cmd:2.356,m3Cmd:1.801,s1Cmd:1.9425,s2Cmd:-0.8325,duration:111
Cmdms:1692957283199,m1Cmd:2.052,m2Cmd:2.456,m3Cmd:1.876,s1Cmd:2.03,s2Cmd:-0.87,duration:116
Cmdms:1692957283204,m1Cmd:2.142,m2Cmd:2.576,m3Cmd:1.966,s1Cmd:2.135,s2Cmd:-0.915,duration:122
Cmdms:1692957283210,m1Cmd:2.217,m2Cmd:2.676,m3Cmd:2.041,s1Cmd:2.2225,s2Cmd:-0.9525,duration:127
Cmdms:1692957283215,m1Cmd:2.307,m2Cmd:2.796,m3Cmd:2.131,s1Cmd:2.3275,s2Cmd:-0.9975,duration:133
Anglems:1692957283215,m1:0.312,m2:0.664,m3:0.4,s1:0,s2:0 ,duration:133
Velms:1692957283215,velM1:0,velM2:17.568,velM3:4.392,velS1:0,velS2:-0.6 ,duration:133
Cmdms:1692957283221,m1Cmd:2.382,m2Cmd:2.896,m3Cmd:2.206,s1Cmd:2.415,s2Cmd:-1.035,duration:138
Cmdms:1692957283226,m1Cmd:2.472,m2Cmd:3.016,m3Cmd:2.296,s1Cmd:2.52,s2Cmd:-1.08,duration:144
Cmdms:1692957283231,m1Cmd:2.547,m2Cmd:3.116,m3Cmd:2.371,s1Cmd:2.6075,s2Cmd:-1.1175,duration:149
Cmdms:1692957283237,m1Cmd:2.637,m2Cmd:3.236,m3Cmd:2.461,s1Cmd:2.7125,s2Cmd:-1.1625,duration:155
Cmdms:1692957283242,m1Cmd:2.712,m2Cmd:3.336,m3Cmd:2.536,s1Cmd:2.8,s2Cmd:-1.2,duration:160
Cmdms:1692957283247,m1Cmd:2.787,m2Cmd:3.436,m3Cmd:2.611,s1Cmd:2.8875,s2Cmd:-1.2375,duration:165
Cmdms:1692957283253,m1Cmd:2.877,m2Cmd:3.556,m3Cmd:2.701,s1Cmd:2.9925,s2Cmd:-1.2825,duration:171
Cmdms:1692957283258,m1Cmd:2.952,m2Cmd:3.656,m3Cmd:2.776,s1Cmd:3.08,s2Cmd:-1.32,duration:176
Anglems:1692957283258,m1:0.312,m2:1.72,m3:1.016,s1:1.6722,s2:0.0018 ,duration:176
Velms:1692957283258,velM1:0,velM2:17.568,velM3:17.568,velS1:0.3,velS2:-0.3 ,duration:176
Cmdms:1692957283263,m1Cmd:3.027,m2Cmd:3.756,m3Cmd:2.851,s1Cmd:3.1675,s2Cmd:-1.3575,duration:181
Cmdms:1692957283269,m1Cmd:3.117,m2Cmd:3.876,m3Cmd:2.941,s1Cmd:3.2725,s2Cmd:-1.4025,duration:187
Cmdms:1692957283274,m1Cmd:3.192,m2Cmd:3.976,m3Cmd:3.016,s1Cmd:3.36,s2Cmd:-1.44,duration:192
Cmdms:1692957283279,m1Cmd:3.267,m2Cmd:4.076,m3Cmd:3.091,s1Cmd:3.4475,s2Cmd:-1.4775,duration:197
Cmdms:1692957283285,m1Cmd:3.357,m2Cmd:4.196,m3Cmd:3.181,s1Cmd:3.5525,s2Cmd:-1.5225,duration:203
Cmdms:1692957283290,m1Cmd:3.432,m2Cmd:4.296,m3Cmd:3.256,s1Cmd:3.64,s2Cmd:-1.56,duration:208
Cmdms:1692957283296,m1Cmd:3.507,m2Cmd:4.396,m3Cmd:3.331,s1Cmd:3.7275,s2Cmd:-1.5975,duration:213
Cmdms:1692957283303,m1Cmd:3.597,m2Cmd:4.516,m3Cmd:3.421,s1Cmd:3.8325,s2Cmd:-1.6425,duration:219
Anglems:1692957283303,m1:0.752,m2:2.512,m3:1.72,s1:1.6722,s2:-0.981 ,duration:219
Velms:1692957283303,velM1:8.784,velM2:21.96,velM3:13.176,velS1:18.9,velS2:4.2 ,duration:219
Cmdms:1692957283308,m1Cmd:3.702,m2Cmd:4.656,m3Cmd:3.526,s1Cmd:3.955,s2Cmd:-1.695,duration:226
Cmdms:1692957283314,m1Cmd:3.777,m2Cmd:4.756,m3Cmd:3.601,s1Cmd:4.0425,s2Cmd:-1.7325,duration:231
Cmdms:1692957283319,m1Cmd:3.867,m2Cmd:4.876,m3Cmd:3.691,s1Cmd:4.1475,s2Cmd:-1.7775,duration:237
Cmdms:1692957283324,m1Cmd:3.942,m2Cmd:4.976,m3Cmd:3.766,s1Cmd:4.235,s2Cmd:-1.815,duration:242
Cmdms:1692957283330,m1Cmd:4.032,m2Cmd:5.096,m3Cmd:3.856,s1Cmd:4.34,s2Cmd:-1.86,duration:248
Cmdms:1692957283335,m1Cmd:4.107,m2Cmd:5.196,m3Cmd:3.931,s1Cmd:4.4275,s2Cmd:-1.8975,duration:253
Cmdms:1692957283341,m1Cmd:4.182,m2Cmd:5.296,m3Cmd:4.006,s1Cmd:4.515,s2Cmd:-1.935,duration:258
Cmdms:1692957283346,m1Cmd:4.272,m2Cmd:5.416,m3Cmd:4.096,s1Cmd:4.62,s2Cmd:-1.98,duration:264
Anglems:1692957283346,m1:1.456,m2:3.48,m3:2.424,s1:3.2832,s2:-1.4634 ,duration:264
Velms:1692957283346,velM1:17.568,velM2:26.352,velM3:13.176,velS1:21.3,velS2:8.7 ,duration:264
Cmdms:1692957283351,m1Cmd:4.347,m2Cmd:5.516,m3Cmd:4.171,s1Cmd:4.7075,s2Cmd:-2.0175,duration:269
