open deivce ok!
Can Init ok!
serial speed 115200
servo id:1 init...
servo id:2 init...
servo id:3 init...
[1;32mNODE_ID:1 START_NODE[0m
[1;32mNODE_ID:2 START_NODE[0m
[1;32mNODE_ID:1 READY ev:0 qs:1[0m
[1;32mNODE_ID:2 READY ev:0 qs:1[0m
**********************
*angle ms:1692947065575,m1:-0.48,m2:0.048,m3:0.224,s1:0,s2:0
*vel ms:1692947065575,velM1:0,velM2:0,velM3:0,velS1:0,velS2:0
**********************
Cmdms:1692947065576,m1Cmd:-0.48,m2Cmd:0.048,m3Cmd:0.224,s1Cmd:0,s2Cmd:0,duration:0
Cmdms:1692947065581,m1Cmd:-0.38,m2Cmd:0.181333,m3Cmd:0.274,s1Cmd:0.0166667,s2Cmd:0.0333333,duration:5
Cmdms:1692947065587,m1Cmd:-0.26,m2Cmd:0.341333,m3Cmd:0.334,s1Cmd:0.0366667,s2Cmd:0.0733333,duration:11
Cmdms:1692947065593,m1Cmd:-0.16,m2Cmd:0.474667,m3Cmd:0.384,s1Cmd:0.0533333,s2Cmd:0.106667,duration:16
Cmdms:1692947065598,m1Cmd:-0.04,m2Cmd:0.634667,m3Cmd:0.444,s1Cmd:0.0733333,s2Cmd:0.146667,duration:22
Cmdms:1692947065603,m1Cmd:0.06,m2Cmd:0.768,m3Cmd:0.494,s1Cmd:0.09,s2Cmd:0.18,duration:27
Cmdms:1692947065609,m1Cmd:0.18,m2Cmd:0.928,m3Cmd:0.554,s1Cmd:0.11,s2Cmd:0.22,duration:33
Cmdms:1692947065614,m1Cmd:0.28,m2Cmd:1.06133,m3Cmd:0.604,s1Cmd:0.126667,s2Cmd:0.253333,duration:38
Cmdms:1692947065620,m1Cmd:0.38,m2Cmd:1.19467,m3Cmd:0.654,s1Cmd:0.143333,s2Cmd:0.286667,duration:43
[1;32mNODE_ID:1 SWITCH_ON so:0[0m
[1;32mNODE_ID:2 SWITCH_ON so:0[0m
Anglems:1692947065620,m1:-0.48,m2:0.048,m3:0.224,s1:0,s2:0.0018 ,duration:43
Velms:1692947065620,velM1:0,velM2:0,velM3:0,velS1:0,velS2:0 ,duration:43
Cmdms:1692947065625,m1Cmd:0.5,m2Cmd:1.35467,m3Cmd:0.714,s1Cmd:0.163333,s2Cmd:0.326667,duration:49
Cmdms:1692947065631,m1Cmd:0.6,m2Cmd:1.488,m3Cmd:0.764,s1Cmd:0.18,s2Cmd:0.36,duration:54
Cmdms:1692947065636,m1Cmd:0.72,m2Cmd:1.648,m3Cmd:0.824,s1Cmd:0.2,s2Cmd:0.4,duration:60
Cmdms:1692947065641,m1Cmd:0.82,m2Cmd:1.78133,m3Cmd:0.874,s1Cmd:0.216667,s2Cmd:0.433333,duration:65
Cmdms:1692947065647,m1Cmd:0.92,m2Cmd:1.91467,m3Cmd:0.924,s1Cmd:0.233333,s2Cmd:0.466667,duration:70
Cmdms:1692947065652,m1Cmd:1.04,m2Cmd:2.07467,m3Cmd:0.984,s1Cmd:0.253333,s2Cmd:0.506667,duration:76
Cmdms:1692947065657,m1Cmd:1.14,m2Cmd:2.208,m3Cmd:1.034,s1Cmd:0.27,s2Cmd:0.54,duration:81
Cmdms:1692947065663,m1Cmd:1.26,m2Cmd:2.368,m3Cmd:1.094,s1Cmd:0.29,s2Cmd:0.58,duration:87
Anglems:1692947065663,m1:-0.48,m2:0.048,m3:0.224,s1:0,s2:0.0018 ,duration:87
