open deivce ok!
Can Init ok!
serial speed 115200
servo id:1 init...
servo id:2 init...
servo id:3 init...
[1;32mNODE_ID:1 START_NODE[0m
[1;32mNODE_ID:2 START_NODE[0m
[1;32mNODE_ID:1 READY ev:0 qs:1[0m
[1;32mNODE_ID:2 READY ev:0 qs:1[0m
[1;32mNODE_ID:1 SWITCH_ON so:0[0m
[1;32mNODE_ID:2 SWITCH_ON so:0[0m
[1;32mNODE_ID:1 SWITCH_ON so:0[0m
**********************
*angle ms:1692950281018,m1:-0.128,m2:0.136,m3:0.136,s1:0,s2:0
*vel ms:1692950281018,velM1:0,velM2:0,velM3:0,velS1:0,velS2:0
**********************
Cmdms:1692950281018,m1Cmd:-0.128,m2Cmd:0.136,m3Cmd:0.136,s1Cmd:0,s2Cmd:0,duration:0
Cmdms:1692950281023,m1Cmd:-0.028,m2Cmd:0.286,m3Cmd:0.186,s1Cmd:0.0166667,s2Cmd:0.0333333,duration:5
Cmdms:1692950281029,m1Cmd:0.072,m2Cmd:0.436,m3Cmd:0.236,s1Cmd:0.0333333,s2Cmd:0.0666667,duration:10
Cmdms:1692950281034,m1Cmd:0.192,m2Cmd:0.616,m3Cmd:0.296,s1Cmd:0.0533333,s2Cmd:0.106667,duration:16
Cmdms:1692950281039,m1Cmd:0.292,m2Cmd:0.766,m3Cmd:0.346,s1Cmd:0.07,s2Cmd:0.14,duration:21
Cmdms:1692950281045,m1Cmd:0.392,m2Cmd:0.916,m3Cmd:0.396,s1Cmd:0.0866667,s2Cmd:0.173333,duration:26
Cmdms:1692950281050,m1Cmd:0.512,m2Cmd:1.096,m3Cmd:0.456,s1Cmd:0.106667,s2Cmd:0.213333,duration:32
Cmdms:1692950281055,m1Cmd:0.612,m2Cmd:1.246,m3Cmd:0.506,s1Cmd:0.123333,s2Cmd:0.246667,duration:37
Cmdms:1692950281061,m1Cmd:0.712,m2Cmd:1.396,m3Cmd:0.556,s1Cmd:0.14,s2Cmd:0.28,duration:42
Anglems:1692950281061,m1:-0.128,m2:0.136,m3:0.136,s1:0.0018,s2:0 ,duration:42
Velms:1692950281061,velM1:0,velM2:0,velM3:0,velS1:0,velS2:0 ,duration:42
Cmdms:1692950281066,m1Cmd:0.832,m2Cmd:1.576,m3Cmd:0.616,s1Cmd:0.16,s2Cmd:0.32,duration:48
Cmdms:1692950281072,m1Cmd:0.932,m2Cmd:1.726,m3Cmd:0.666,s1Cmd:0.176667,s2Cmd:0.353333,duration:53
Cmdms:1692950281077,m1Cmd:1.052,m2Cmd:1.906,m3Cmd:0.726,s1Cmd:0.196667,s2Cmd:0.393333,duration:59
Cmdms:1692950281083,m1Cmd:1.152,m2Cmd:2.056,m3Cmd:0.776,s1Cmd:0.213333,s2Cmd:0.426667,duration:64
Cmdms:1692950281088,m1Cmd:1.252,m2Cmd:2.206,m3Cmd:0.826,s1Cmd:0.23,s2Cmd:0.46,duration:69
Cmdms:1692950281093,m1Cmd:1.372,m2Cmd:2.386,m3Cmd:0.886,s1Cmd:0.25,s2Cmd:0.5,duration:75
Cmdms:1692950281099,m1Cmd:1.472,m2Cmd:2.536,m3Cmd:0.936,s1Cmd:0.266667,s2Cmd:0.533333,duration:80
Cmdms:1692950281105,m1Cmd:1.592,m2Cmd:2.716,m3Cmd:0.996,s1Cmd:0.286667,s2Cmd:0.573333,duration:86
Anglems:1692950281105,m1:-0.128,m2:0.136,m3:0.136,s1:0.1728,s2:0.0666 ,duration:86
Velms:1692950281105,velM1:0,velM2:0,velM3:0,velS1:0.9,velS2:0.3 ,duration:86
Cmdms:1692950281111,m1Cmd:1.712,m2Cmd:2.896,m3Cmd:1.056,s1Cmd:0.306667,s2Cmd:0.613333,duration:92
Cmdms:1692950281116,m1Cmd:1.832,m2Cmd:3.076,m3Cmd:1.116,s1Cmd:0.326667,s2Cmd:0.653333,duration:98
Cmdms:1692950281122,m1Cmd:1.932,m2Cmd:3.226,m3Cmd:1.166,s1Cmd:0.343333,s2Cmd:0.686667,duration:103
Cmdms:1692950281127,m1Cmd:2.052,m2Cmd:3.406,m3Cmd:1.226,s1Cmd:0.363333,s2Cmd:0.726667,duration:109
Cmdms:1692950281133,m1Cmd:2.152,m2Cmd:3.556,m3Cmd:1.276,s1Cmd:0.38,s2Cmd:0.76,duration:114
Cmdms:1692950281138,m1Cmd:2.272,m2Cmd:3.736,m3Cmd:1.336,s1Cmd:0.4,s2Cmd:0.8,duration:120
Cmdms:1692950281144,m1Cmd:2.372,m2Cmd:3.886,m3Cmd:1.386,s1Cmd:0.416667,s2Cmd:0.833333,duration:125
Cmdms:1692950281149,m1Cmd:2.492,m2Cmd:4.066,m3Cmd:1.446,s1Cmd:0.436667,s2Cmd:0.873333,duration:131
Anglems:1692950281149,m1:0.136,m2:0.84,m3:0.312,s1:0.2538,s2:0.4986 ,duration:131
Velms:1692950281149,velM1:4.392,velM2:21.96,velM3:4.392,velS1:1.5,velS2:2.7 ,duration:131
Cmdms:1692950281155,m1Cmd:2.592,m2Cmd:4.216,m3Cmd:1.496,s1Cmd:0.453333,s2Cmd:0.906667,duration:136
Cmdms:1692950281160,m1Cmd:2.712,m2Cmd:4.396,m3Cmd:1.556,s1Cmd:0.473333,s2Cmd:0.946667,duration:142
Cmdms:1692950281165,m1Cmd:2.812,m2Cmd:4.546,m3Cmd:1.606,s1Cmd:0.49,s2Cmd:0.98,duration:147
Cmdms:1692950281171,m1Cmd:2.912,m2Cmd:4.696,m3Cmd:1.656,s1Cmd:0.506667,s2Cmd:1.01333,duration:152
