open deivce ok!
Can Init ok!
serial speed 115200
servo id:1 init...
servo id:2 init...
servo id:3 init...
[1;32mNODE_ID:1 START_NODE[0m
[1;32mNODE_ID:2 START_NODE[0m
[1;32mNODE_ID:1 READY ev:0 qs:1[0m
[1;32mNODE_ID:2 READY ev:0 qs:1[0m
**********************
*angle ms:1692950783593,m1:-0.128,m2:0.048,m3:0.136,s1:0,s2:0
*vel ms:1692950783593,velM1:0,velM2:0,velM3:0,velS1:0,velS2:0
**********************
Cmdms:1692950783593,m1Cmd:-0.128,m2Cmd:0.048,m3Cmd:0.136,s1Cmd:0,s2Cmd:0,duration:0
Cmdms:1692950783598,m1Cmd:-0.028,m2Cmd:0.198,m3Cmd:0.186,s1Cmd:0.15,s2Cmd:0.15,duration:5
Cmdms:1692950783604,m1Cmd:0.072,m2Cmd:0.348,m3Cmd:0.236,s1Cmd:0.3,s2Cmd:0.3,duration:10
Cmdms:1692950783609,m1Cmd:0.192,m2Cmd:0.528,m3Cmd:0.296,s1Cmd:0.48,s2Cmd:0.48,duration:16
Cmdms:1692950783615,m1Cmd:0.292,m2Cmd:0.678,m3Cmd:0.346,s1Cmd:0.63,s2Cmd:0.63,duration:21
Cmdms:1692950783620,m1Cmd:0.412,m2Cmd:0.858,m3Cmd:0.406,s1Cmd:0.81,s2Cmd:0.81,duration:27
Cmdms:1692950783626,m1Cmd:0.512,m2Cmd:1.008,m3Cmd:0.456,s1Cmd:0.96,s2Cmd:0.96,duration:32
Cmdms:1692950783631,m1Cmd:0.632,m2Cmd:1.188,m3Cmd:0.516,s1Cmd:1.14,s2Cmd:1.14,duration:38
Cmdms:1692950783636,m1Cmd:0.732,m2Cmd:1.338,m3Cmd:0.566,s1Cmd:1.29,s2Cmd:1.29,duration:43
[1;32mNODE_ID:1 SWITCH_ON so:0[0m
[1;32mNODE_ID:2 SWITCH_ON so:0[0m
Anglems:1692950783637,m1:-0.128,m2:0.048,m3:0.136,s1:0.0018,s2:0.0324 ,duration:43
Velms:1692950783637,velM1:0,velM2:0,velM3:0,velS1:0,velS2:0 ,duration:43
Cmdms:1692950783642,m1Cmd:0.852,m2Cmd:1.518,m3Cmd:0.626,s1Cmd:1.47,s2Cmd:1.47,duration:49
Cmdms:1692950783647,m1Cmd:0.952,m2Cmd:1.668,m3Cmd:0.676,s1Cmd:1.62,s2Cmd:1.62,duration:54
Cmdms:1692950783653,m1Cmd:1.052,m2Cmd:1.818,m3Cmd:0.726,s1Cmd:1.77,s2Cmd:1.77,duration:59
Cmdms:1692950783658,m1Cmd:1.172,m2Cmd:1.998,m3Cmd:0.786,s1Cmd:1.95,s2Cmd:1.95,duration:65
Cmdms:1692950783664,m1Cmd:1.272,m2Cmd:2.148,m3Cmd:0.836,s1Cmd:2.1,s2Cmd:2.1,duration:70
Cmdms:1692950783669,m1Cmd:1.392,m2Cmd:2.328,m3Cmd:0.896,s1Cmd:2.28,s2Cmd:2.28,duration:76
Cmdms:1692950783674,m1Cmd:1.492,m2Cmd:2.478,m3Cmd:0.946,s1Cmd:2.43,s2Cmd:2.43,duration:81
Cmdms:1692950783680,m1Cmd:1.592,m2Cmd:2.628,m3Cmd:0.996,s1Cmd:2.58,s2Cmd:2.58,duration:86
Anglems:1692950783680,m1:-0.128,m2:0.048,m3:0.136,s1:0.0018,s2:0.0324 ,duration:86
Velms:1692950783680,velM1:0,velM2:0,velM3:0,velS1:0,velS2:0 ,duration:86
Cmdms:1692950783686,m1Cmd:1.712,m2Cmd:2.808,m3Cmd:1.056,s1Cmd:2.76,s2Cmd:2.76,duration:92
Cmdms:1692950783692,m1Cmd:1.832,m2Cmd:2.988,m3Cmd:1.116,s1Cmd:2.94,s2Cmd:2.94,duration:98
Cmdms:1692950783697,m1Cmd:1.952,m2Cmd:3.168,m3Cmd:1.176,s1Cmd:3.12,s2Cmd:3.12,duration:104
Cmdms:1692950783702,m1Cmd:2.052,m2Cmd:3.318,m3Cmd:1.226,s1Cmd:3.27,s2Cmd:3.27,duration:109
Cmdms:1692950783709,m1Cmd:2.152,m2Cmd:3.468,m3Cmd:1.276,s1Cmd:3.42,s2Cmd:3.42,duration:114
Cmdms:1692950783714,m1Cmd:2.292,m2Cmd:3.678,m3Cmd:1.346,s1Cmd:3.63,s2Cmd:3.63,duration:121
Cmdms:1692950783720,m1Cmd:2.392,m2Cmd:3.828,m3Cmd:1.396,s1Cmd:3.78,s2Cmd:3.78,duration:126
Cmdms:1692950783725,m1Cmd:2.512,m2Cmd:4.008,m3Cmd:1.456,s1Cmd:3.96,s2Cmd:3.96,duration:132
Anglems:1692950783725,m1:-0.128,m2:0.752,m3:0.224,s1:0.0018,s2:0.0324 ,duration:132
Velms:1692950783725,velM1:0,velM2:17.568,velM3:0,velS1:0,velS2:0 ,duration:132
Cmdms:1692950783731,m1Cmd:2.612,m2Cmd:4.158,m3Cmd:1.506,s1Cmd:4.11,s2Cmd:4.11,duration:137
Cmdms:1692950783736,m1Cmd:2.732,m2Cmd:4.338,m3Cmd:1.566,s1Cmd:4.29,s2Cmd:4.29,duration:143
Cmdms:1692950783741,m1Cmd:2.832,m2Cmd:4.488,m3Cmd:1.616,s1Cmd:4.44,s2Cmd:4.44,duration:148
Cmdms:1692950783747,m1Cmd:2.932,m2Cmd:4.638,m3Cmd:1.666,s1Cmd:4.59,s2Cmd:4.59,duration:153
Cmdms:1692950783754,m1Cmd:3.052,m2Cmd:4.818,m3Cmd:1.726,s1Cmd:4.77,s2Cmd:4.77,duration:159
Cmdms:1692950783759,m1Cmd:3.192,m2Cmd:5.028,m3Cmd:1.796,s1Cmd:4.98,s2Cmd:4.98,duration:166
Cmdms:1692950783764,m1Cmd:3.292,m2Cmd:5.178,m3Cmd:1.846,s1Cmd:5.13,s2Cmd:5.13,duration:171
Cmdms:1692950783770,m1Cmd:3.392,m2Cmd:5.328,m3Cmd:1.896,s1Cmd:5.28,s2Cmd:5.28,duration:176
Anglems:1692950783770,m1:0.136,m2:2.248,m3:0.752,s1:0,s2:1.1664 ,duration:176
Velms:1692950783770,velM1:4.392,velM2:30.744,velM3:17.568,velS1:0.3,velS2:4.8 ,duration:176
Cmdms:1692950783776,m1Cmd:3.512,m2Cmd:5.508,m3Cmd:1.956,s1Cmd:5.46,s2Cmd:5.46,duration:182
Cmdms:1692950783782,m1Cmd:3.632,m2Cmd:5.688,m3Cmd:2.016,s1Cmd:5.64,s2Cmd:5.64,duration:188
Cmdms:1692950783787,m1Cmd:3.752,m2Cmd:5.868,m3Cmd:2.076,s1Cmd:5.82,s2Cmd:5.82,duration:194
Cmdms:1692950783793,m1Cmd:3.852,m2Cmd:6.018,m3Cmd:2.126,s1Cmd:5.97,s2Cmd:5.97,duration:199
Cmdms:1692950783798,m1Cmd:3.972,m2Cmd:6.198,m3Cmd:2.186,s1Cmd:6.15,s2Cmd:6.15,duration:205
Cmdms:1692950783805,m1Cmd:4.072,m2Cmd:6.348,m3Cmd:2.236,s1Cmd:6.3,s2Cmd:6.3,duration:210
Cmdms:1692950783811,m1Cmd:4.212,m2Cmd:6.558,m3Cmd:2.306,s1Cmd:6.51,s2Cmd:6.51,duration:217
Cmdms:1692950783816,m1Cmd:4.312,m2Cmd:6.708,m3Cmd:2.356,s1Cmd:6.66,s2Cmd:6.66,duration:222
Anglems:1692950783816,m1:2.072,m2:3.48,m3:1.192,s1:4.4154,s2:4.671 ,duration:222
Velms:1692950783816,velM1:26.352,velM2:30.744,velM3:13.176,velS1:33.3,velS2:31.5 ,duration:222
Cmdms:1692950783821,m1Cmd:4.432,m2Cmd:6.888,m3Cmd:2.416,s1Cmd:6.84,s2Cmd:6.84,duration:228
Cmdms:1692950783828,m1Cmd:4.532,m2Cmd:7.038,m3Cmd:2.466,s1Cmd:6.99,s2Cmd:6.99,duration:233
Cmdms:1692950783833,m1Cmd:4.672,m2Cmd:7.248,m3Cmd:2.536,s1Cmd:7.2,s2Cmd:7.2,duration:240
Cmdms:1692950783839,m1Cmd:4.772,m2Cmd:7.398,m3Cmd:2.586,s1Cmd:7.35,s2Cmd:7.35,duration:245
Cmdms:1692950783844,m1Cmd:4.892,m2Cmd:7.578,m3Cmd:2.646,s1Cmd:7.53,s2Cmd:7.53,duration:251
Cmdms:1692950783849,m1Cmd:4.992,m2Cmd:7.728,m3Cmd:2.696,s1Cmd:7.68,s2Cmd:7.68,duration:256
Cmdms:1692950783855,m1Cmd:5.092,m2Cmd:7.878,m3Cmd:2.746,s1Cmd:7.83,s2Cmd:7.83,duration:261
Cmdms:1692950783860,m1Cmd:5.212,m2Cmd:8.058,m3Cmd:2.806,s1Cmd:8.01,s2Cmd:8.01,duration:267
Anglems:1692950783860,m1:2.072,m2:4.976,m3:1.632,s1:6.2064,s2:6.507 ,duration:267
Velms:1692950783860,velM1:26.352,velM2:35.136,velM3:8.784,velS1:35.1,velS2:33.9 ,duration:267
Cmdms:1692950783866,m1Cmd:5.312,m2Cmd:8.208,m3Cmd:2.856,s1Cmd:8.16,s2Cmd:8.16,duration:272
